"Full Name",Position,BMI,"Draft Pick","Draft Year","Height (Inches)","Arm Length","Hand Size"
"Lil'Jordan Humphrey",WR,25.6,Undrafted,2019,76,"32 3/4","9 1/2"
"Linell Bonner",WR,27.1,Undrafted,2018,72,"31 5/8","8 7/8"
"Louis Murphy",WR,25.7,4.24,2009,74,"33 5/8","10    "
"Lucky Whitehead",WR,23.4,Undrafted,2015,70,"32    ","8 7/8"
"Mack Hollins",WR,26.9,4.12,2017,76,"33 1/4","9 3/4"
"Malachi Dupre",WR,25.2,7.29,2017,74,"31 1/2","9    "
"Malcolm Lewis",WR,27.7,Undrafted,2017,70,"31 1/8","8 3/8"
"Malcolm Mitchell",WR,26.9,4.14,2016,72,"32 5/8","10 1/2"
"Malcolm Williams",WR,27.2,Undrafted,2019,69,"30 3/4","9 1/4"
"Malcom Floyd",WR,26.7,Undrafted,2004,77,"33 1/4","10 1/4"
"Malcome Kennedy",WR,27.8,Undrafted,2015,72,"31 1/4","9 3/4"
"Malik Turner",WR,25.9,Undrafted,2018,74,"32    ","9 1/4"
"MarQuez North",WR,28.6,Undrafted,2016,74,"33 3/8","10 1/4"
"Marcell Ateman",WR,25.6,7.10,2018,77,"32 7/8","9 7/8"
"Marcus Beaurem",WR,25.8,Undrafted,2015,71,"30 1/2","9    "
"Marcus Green",WR,28.9,6.30,2019,68,"30 3/4","9    "
"Marcus Harris",WR,24.7,Undrafted,2011,73,-,-
"Marcus Johnson",WR,26.9,Undrafted,2016,73,"31 7/8","9 1/4"
"Marcus Kemp",WR,25.0,Undrafted,2017,75,"32 5/8","9 5/8"
"Marcus Tucker",WR,27.5,Undrafted,2016,70,"30 1/2","8 1/2"
"Mario Alford",WR,27.4,7.21,2015,68,"31 1/4","9 3/8"
"Mario Manningham",WR,25.1,3.32,2008,72,"32 1/8",-
"Marken Michel",WR,26.9,Undrafted,2016,71,"28 3/4","8 7/8"
"Markus Wheaton",WR,26.4,3.17,2013,71,"32 3/4","9 1/8"
"Marlon Brown",WR,25.9,Undrafted,2013,76,"32 3/4","8 1/4"
"Marqise Lee",WR,26.0,2.07,2014,72,"31 3/4","9 1/2"
"Marques Colston",WR,26.7,7.44,2006,77,"33 3/8","9 5/8"
"Marquess Wilson",WR,22.4,7.30,2013,76,"31 1/8","9 1/4"
"Marquez Valdes-Scantling",WR,25.1,5.37,2018,76,"32 1/4","10 1/4"
"Marquis Bundy",WR,25.8,Undrafted,2016,76,"32 1/8","9    "
"Marquise Brown",WR,24.5,1.25,2019,69,"30 1/2","9    "
"Marquise Goodwin",WR,27.0,3.16,2013,69,"31 1/2","8 5/8"
"Martavis Bryant",WR,25.7,4.18,2014,76,"32 5/8","9 1/2"
"Marvin Hall",WR,28.4,Undrafted,2016,69,"30 1/4","8 1/2"
"Marvin Jones",WR,25.7,5.31,2012,74,"33 1/8","10 1/4"
"Marvin McNutt",WR,27.0,6.24,2012,75,"32    ","10    "
"Matt Hazel",WR,26.1,6.14,2014,73,"31 3/8","9 1/8"
"Matt Miller",WR,28.5,Undrafted,2015,74,"32 1/2","8 7/8"
"Matthew Slater",WR,27.2,5.18,2008,71,-,-
"Maurice Harris",WR,25.0,Undrafted,2016,74,"32 1/8","9 5/8"
"Max McCaffrey",WR,24.4,Undrafted,2016,74,"31 5/8","8 7/8"
"Mecole Hardman",WR,26.8,2.24,2019,70,"30 1/4","9    "
"Mekale McKay",WR,25.2,Undrafted,2016,76,"30 5/8","9 1/2"
"Micah Hatfield",WR,24.0,Undrafted,2014,73,"30    ","8 5/8"
"Michael Campanaro",WR,27.5,7.03,2014,70,"30    ","9 3/4"
"Michael Clark",WR,25.1,Undrafted,2017,78,"32 7/8","9 3/8"
"Michael Crabtree",WR,28.2,1.10,2009,73,"34 1/4","9 1/4"
"Michael Floyd",WR,27.5,1.13,2012,75,"32 7/8","9 3/8"
"Michael Gallup",WR,27.0,3.17,2018,73,"31 1/2","9 1/4"
"Michael Preston",WR,24.4,Undrafted,2011,77,"34 3/4",-
"Michael Rector",WR,26.2,Undrafted,2017,72,"32 1/2","9 1/4"
"Michael Thomas",WR,26.5,2.16,2016,75,"32 1/8","10 1/2"
"Micheal Spurlock",WR,29.3,Undrafted,2006,71,-,-
"Mike A. Thomas",WR,30.1,4.07,2009,68,"31    ","9 3/8"
"Mike A. Williams",WR,28.0,4.03,2010,73,"31    ","9 1/4"
"Mike Brown",WR,29.4,Undrafted,2012,70,"31 1/2",-
"Mike Davis",WR,26.7,Undrafted,2014,72,"32 3/4","10    "
"Mike Evans",WR,27.4,1.07,2014,77,"35 1/8","9 3/8"
"Mike Thomas",WR,26.4,6.31,2016,73,"33 3/8","10 1/2"
"Mike Wallace",WR,27.0,3.20,2009,72,"31 3/8","9    "
"Mike Williams",WR,26.5,1.07,2017,76,"33 3/8","9 3/8"
"Miles Austin",WR,27.9,Undrafted,2006,74,"31    ","10 1/8"
"Miles Boykin",WR,26.8,3.29,2019,76,"33 1/2","9 7/8"
"Milton Williams",WR,25.0,Undrafted,2015,75,"31 1/2","9 1/4"
"Mitch Mathews",WR,26.3,Undrafted,2016,77,"33    ","10 3/8"
"Mohamed Sanu",WR,27.8,3.19,2012,73,"33 1/2","10 1/8"
"Montay Crockett",WR,26.5,Undrafted,2017,71,"31 1/2","8 3/8"
"Mose Frazier",WR,28.1,Undrafted,2016,70,"31 5/8","8 3/8"
"Myles White",WR,24.7,Undrafted,2013,72,"31 5/8","9 1/4"
"N'Keal Harry",WR,29.3,1.32,2019,74,"33    ","9 1/2"
"Nate Burleson",WR,26.9,3.07,2003,72,"31 1/8","9    "
"Nate Cole",WR,27.0,Undrafted,2017,72,"31 3/4","9 3/4"
"Nate Washington",WR,24.1,Undrafted,2005,73,-,-
"Nathan Palmer",WR,27.6,Undrafted,2012,71,-,-
"Nathan Slaughter",WR,27.2,Undrafted,2014,69,"29 5/8","8 3/4"
"Nelson Agholor",WR,26.9,1.20,2015,72,"32 1/4","9 1/4"
"Nelson Spruce",WR,27.2,Undrafted,2016,73,"30    ","10    "
"Nicholas Norris",WR,24.3,Undrafted,2017,68,"29 5/8","8 5/8"
"Nick Harwell",WR,26.9,Undrafted,2015,71,"31    ","9 5/8"
"Nick Kurtz",WR,25.2,Undrafted,2017,78,"33 1/2","9 7/8"
"Nick Toon",WR,26.2,4.27,2012,76,"32 1/2","9    "
"Nick Williams",WR,27.0,Undrafted,2013,69,"34 1/8","10 1/4"
"Nigel King",WR,26.2,Undrafted,2015,75,"31 5/8","9 1/2"
"Noah Brown",WR,28.5,7.21,2017,74,"31 3/4","9 1/8"
"Noel Grigsby",WR,24.4,Undrafted,2014,71,"30 5/8","9 7/8"
"Noel Thomas",WR,27.8,Undrafted,2017,72,"30    ","8 3/4"
"Nyqwan Murray",WR,27.4,Undrafted,2019,70,"31 1/8","9 3/8"
"Odell Beckham",WR,27.6,1.12,2014,71,"32 3/4","10    "
"Olabisi Johnson",WR,27.7,7.33,2019,72,"30 3/4","10 3/8"
"Olamide Zaccheaus",WR,28.6,Undrafted,2019,68,"31    ","8 3/4"
"Papi White",WR,28.6,Undrafted,2019,68,"29 5/8","8 3/4"
"Parris Campbell",WR,27.8,2.27,2019,72,"32 1/4","9 1/2"
"Patrick Edwards",WR,25.8,Undrafted,2012,69,"29 5/8","8 3/8"
"Paul McRoberts",WR,25.9,Undrafted,2016,74,"33 7/8","10    "
"Paul Richardson",WR,23.7,2.13,2014,72,"32 5/8","8 7/8"
"Paul Turner",WR,27.7,Undrafted,2016,70,"31    ","9 5/8"
"Penny Hart",WR,27.4,Undrafted,2019,68,"31    ","9 1/8"
"Percy Harvin",WR,25.7,1.22,2009,71,"31 5/8","9 3/8"
"Pharoh Cooper",WR,28.3,4.19,2016,71,"32 1/4","9 1/8"
"Phil Bates",WR,29.0,Undrafted,2012,73,"32 3/8",-
"Phil Mayhue",WR,27.1,Undrafted,2018,74,"32 1/2","10 1/4"
"Phillip Dorsett",WR,26.5,1.29,2015,70,"30 1/4","9 3/8"
"Pierre Garcon",WR,28.5,6.39,2008,72,"31 1/8","9 1/2"
"Pig Howard",WR,28.8,Undrafted,2016,67,"31    ","9 1/8"
"Preston Parker",WR,27.1,Undrafted,2010,72,"30 3/8","9 1/4"
"Preston Williams",WR,25.7,Undrafted,2019,76,"33    ","9 1/8"
"Quadree Henderson",WR,28.9,Undrafted,2018,68,"29 1/2","9 7/8"
"Quan Bray",WR,27.8,Undrafted,2015,70,"30 1/2","9 1/4"
"Quenton Bundrage",WR,27.2,Undrafted,2016,73,"33 3/4","9 1/4"
"Quincy Adeboyejo",WR,24.6,Undrafted,2017,75,"31 3/4","9 3/8"
"Quincy Enunwa",WR,28.9,6.33,2014,74,"32 5/8","9 1/2"
"Quinshad Davis",WR,27.2,Undrafted,2016,75,"33 3/8","9 5/8"
"Quinton Patton",WR,27.7,4.31,2013,72,"32 7/8","9 3/8"
"Quron Pratt",WR,26.4,Undrafted,2014,72,"32    ","9 1/4"
"R.J. Harris",WR,27.1,Undrafted,2015,72,"33 1/8","9 1/8"
"R.J. Shelton",WR,28.7,Undrafted,2017,70,"30 1/4","9    "
"Ramses Barden",WR,25.9,3.21,2009,78,"34 1/2","10 3/4"
"Randall Cobb",WR,27.5,2.32,2011,70,"31    ","9 3/8"
"Rannell Hall",WR,26.9,Undrafted,2015,72,"30 1/2","8 5/8"
"Rashad Greene",WR,25.4,5.03,2015,71,"31 5/8","9    "
"Rashad Ross",WR,23.7,Undrafted,2013,72,"30 1/2","8 5/8"
"Rashard Davis",WR,26.3,Undrafted,2017,68,"29 1/4","9    "
"Rashard Higgins",WR,25.9,5.35,2016,73,"32 1/4","9 3/4"
"Rashawn Scott",WR,26.3,Undrafted,2016,73,"31 3/8","9 3/8"
"Rasheed Bailey",WR,26.3,Undrafted,2015,74,"31    ","9 1/2"
"Ray-Ray McCloud",WR,27.3,6.13,2018,70,"30 1/4","9 1/4"
"Reggie Davis",WR,21.4,Undrafted,2017,72,"31 3/4","9 1/4"
"Reggie Diggs",WR,26.7,Undrafted,2016,75,"32 5/8","9 1/4"
"Reggie Wayne",WR,26.9,1.30,2001,72,-,-
"Reggie White",WR,26.7,Undrafted,2019,74,"32 1/2","8 1/2"
"Ricardo Lockette",WR,27.1,Undrafted,2011,74,"33 3/4","9 3/4"
"Ricardo Louis",WR,27.6,4.16,2016,74,"32 3/8","9 1/2"
"Richard Mullaney",WR,26.2,Undrafted,2016,74,"31 1/4","8 5/8"
"Richie James",WR,27.3,7.22,2018,69,"31 1/4","9 1/4"
"Ricky Collins",WR,27.1,Undrafted,2015,72,"32 3/8","9    "
"Ricky Jeune",WR,27.3,Undrafted,2018,74,"32 1/2","9 5/8"
"Rico Gafford",WR,26.4,Undrafted,2018,70,"29 3/4","8 1/2"
"Rico Richardson",WR,24.4,Undrafted,2013,73,"31 5/8","8 3/4"
"Riley Cooper",WR,27.7,5.28,2010,75,"32 5/8","10 3/8"
"Riley McCarron",WR,27.8,Undrafted,2017,69,"30 1/8","8 1/8"
"Riley Ridley",WR,26.3,4.24,2019,73,"32 5/8","10 1/4"
"Rishard Matthews",WR,28.5,7.20,2012,72,"32 1/2","9 1/8"
"River Cracraft",WR,26.2,Undrafted,2017,72,"29 1/2","8 1/2"
"Robby Anderson",WR,23.7,Undrafted,2016,75,"30    ","8 5/8"
"Robert Davis",WR,27.4,6.25,2017,75,"33    ","9 5/8"
"Robert Foster",WR,25.2,Undrafted,2018,74,"32 1/8","9 1/4"
"Robert Herron",WR,28.5,6.09,2014,69,"30 1/2","9 3/4"
"Robert Meachem",WR,27.6,1.27,2007,74,-,-
"Robert Wheelwright",WR,26.3,Undrafted,2017,74,"31 7/8","9 1/8"
"Robert Woods",WR,27.3,2.09,2013,72,"31    ","9 1/4"
"Rod Streater",WR,25.0,Undrafted,2012,75,"32 1/8",-
"Roddy White",WR,27.4,1.27,2005,73,"31 5/8","9 5/8"
"Rodney Adams",WR,24.9,5.27,2017,73,"32    ","9    "
"Rodney Smith",WR,26.7,Undrafted,2013,76,"34 3/4","10 1/4"
"Roger Lewis",WR,27.3,Undrafted,2016,72,"32    ","9 3/4"
"Ron'Quavion Tarver",WR,27.4,Undrafted,2019,76,"33 3/4","8 3/4"
"Ross Apo",WR,26.2,Undrafted,2015,75,"34 3/8","9 1/4"
"Rudy Rudolph",WR,22.4,Undrafted,2015,73,"31 5/8","8 3/8"
"Rueben Randle",WR,26.0,2.31,2012,75,"33    ","9 1/2"
"Russell Gage",WR,25.2,6.20,2018,72,"33    ","9 1/8"
"Russell Shepard",WR,25.7,Undrafted,2013,73,"30 7/8","9 1/4"
"Ryan Broyles",WR,27.0,2.22,2012,70,"30 1/4","9    "
"Ryan Davis",WR,27.1,Undrafted,2019,70,"30 7/8","9 1/4"
"Ryan Grant",WR,25.2,5.02,2014,73,"31    ","9 5/8"
"Ryan Spadola",WR,26.9,Undrafted,2013,73,"30 3/4","9 3/4"
"Ryan Switzer",WR,27.5,4.27,2017,68,"28    ","9 1/4"
"Ryan Whalen",WR,26.6,6.02,2011,73,"30    ","9    "
"Saalim Hakim",WR,26.2,Undrafted,2012,71,-,-
"Saeed Blacknall",WR,26.7,Undrafted,2018,74,"33 3/8","9 7/8"
"Sam Mentkowski",WR,25.7,Undrafted,2018,73,-,-
"Sammie Coates",WR,28.0,3.23,2015,73,"33 3/8","9 3/8"
"Sammy Watkins",WR,27.8,1.04,2014,73,"32    ","9 5/8"
"Santana Moss",WR,28.7,1.16,2001,70,-,-
"Santonio Holmes",WR,26.8,1.25,2006,71,"32    ","9 5/8"
"Scott Miller",WR,25.7,6.35,2019,69,"29 1/4","8 3/4"
"Seantavius Jones",WR,26.0,Undrafted,2014,75,"34 7/8","9 5/8"
"Seth Roberts",WR,25.2,Undrafted,2014,74,"32 1/2","8 7/8"
"Seyi Ajirotutu",WR,26.4,Undrafted,2010,75,"32 5/8","9 3/8"
"Shane Wynn",WR,25.3,Undrafted,2015,66,"29 1/2","8 7/8"
"Shaq Evans",WR,28.1,4.15,2014,73,"32    ","9 5/8"
"Shaq Hill",WR,28.5,Undrafted,2017,69,"30    ","8 1/4"
"Shawn Poindexter",WR,25.1,Undrafted,2019,77,"33 1/8","9 1/4"
"Shay Fields",WR,26.8,Undrafted,2018,70,"30 1/8","8 7/8"
"Shelton Gibson",WR,26.6,5.22,2017,71,"32    ","8 7/8"
"Shun Brown",WR,28.1,Undrafted,2019,68,"29 3/4","9    "
"Sidney Rice",WR,25.2,2.12,2007,75,"32 1/2","9 1/4"
"Simmie Cobbs",WR,27.5,Undrafted,2018,75,"32    ","9 1/4"
"Skye Dawson",WR,23.6,Undrafted,2013,69,"28 1/4","8 1/8"
"Solomon Patton",WR,27.2,Undrafted,2014,68,"29 3/4","9 1/8"
"Speedy Noil",WR,27.8,Undrafted,2017,71,"30    ","9 1/4"
"Stacy Coley",WR,26.4,7.01,2017,72,"32 1/4","9 3/4"
"Stanley Morgan",WR,27.4,Undrafted,2019,72,"32 3/8","9 7/8"
"Stedman Bailey",WR,27.7,3.30,2013,70,"32 3/4","9 7/8"
"Stefon Diggs",WR,26.4,5.10,2015,72,"31 1/4","10    "
"Stephen Hill",WR,26.2,2.11,2012,76,"33 3/8","9 3/8"
"Sterling Shepard",WR,27.8,2.09,2016,70,"30 3/8","9 3/4"
"Steve Ishmael",WR,27.2,Undrafted,2018,74,"32 3/4","8 1/2"
"Steve Johnson",WR,25.9,7.17,2008,74,"32 3/4","9 5/8"
"Steve Smith",WR,27.3,3.12,2001,69,-,-
"Steven Dunbar",WR,26.3,Undrafted,2018,74,"32 7/8","9 1/4"
"Steven Mitchell",WR,27.1,Undrafted,2018,70,"30 3/8","9 3/8"
"T.J. Graham",WR,25.1,3.06,2012,71,"32 3/4","9    "
"T.J. Jones",WR,25.5,6.13,2014,72,"30 5/8","10    "
"T.J. Moe",WR,27.9,Undrafted,2013,71,"30 1/8","9 3/4"
"T.Y. Hilton",WR,27.0,3.29,2012,69,"32    ","8 1/2"
"Tajae Sharpe",WR,24.9,5.01,2016,74,"32 1/4","8 3/8"
"Tandon Doss",WR,26.6,4.26,2011,74,"31 1/4","10 1/8"
"Tanner Gentry",WR,27.4,Undrafted,2017,73,"30 1/2","9 7/8"
"Tanner McEvoy",WR,25.7,Undrafted,2016,78,"31    ","10 3/8"
"Tavares Martin",WR,24.4,Undrafted,2018,73,"32 1/8","9 1/8"
"Tavarres King",WR,25.6,5.28,2013,72,"33    ","9 1/2"
"Taylor Gabriel",WR,25.4,Undrafted,2014,68,"29 3/4","8 3/8"
"Taylor Price",WR,28.7,3.26,2010,72,"31 1/4","9 1/2"
"Taywan Taylor",WR,28.3,3.08,2017,71,"32 5/8","9 1/4"
"Ted Ginn",WR,25.1,1.09,2007,71,"31 1/4","9 1/8"
"Tello Luckett",WR,28.6,Undrafted,2015,72,"31    ","9 1/4"
"Teo Redding",WR,23.9,Undrafted,2018,73,"32 5/8","9 3/8"
"Terrance Williams",WR,26.7,3.12,2013,74,"31 1/4","8 3/4"
"Terrelle Pryor",WR,28.4,Supplemental,2011,76,-,-
"Terren Encalade",WR,25.9,Undrafted,2019,71,"28 3/4","9 1/2"
"Terrence Toliver",WR,24.2,Undrafted,2011,77,"32    ","10    "
"Terry Godwin",WR,25.7,7.23,2019,71,"30    ","9 3/8"
"Terry McLaurin",WR,28.2,3.12,2019,72,"31 1/2","9 1/8"
"Terry Wright",WR,25.4,Undrafted,2019,70,"30 1/2","9 1/8"
"Tevaun Smith",WR,27.8,Undrafted,2016,72,"31 3/4","9 1/2"
"Tevin Jones",WR,27.9,Undrafted,2016,74,"32 1/2","9 7/8"
"Tevin Reese",WR,23.4,7.25,2014,70,"31 5/8","8 5/8"
"Thomas Owens",WR,26.5,Undrafted,2018,73,"31 5/8","9 5/8"
"Thomas Sperbeck",WR,26.1,Undrafted,2017,71,"29 1/4","8 7/8"
"Tim Benford",WR,27.9,Undrafted,2012,71,"33 1/8","8 7/8"
"Tim Patrick",WR,25.3,Undrafted,2017,76,"33 5/8","9 1/2"
"Tim White",WR,25.1,Undrafted,2017,70,"31 1/4","9 3/4"
"Tiquan Underwood",WR,23.1,7.44,2009,73,"32 1/4","8 1/2"
"Titus Davis",WR,25.9,Undrafted,2015,73,"29 5/8","8 1/4"
"Tommy Streeter",WR,26.1,6.28,2012,77,"34 3/4","9 1/2"
"Tommylee Lewis",WR,27.4,Undrafted,2016,66,"29 3/8","8 1/8"
"Toney Clemons",WR,27.0,7.24,2012,74,"31 5/8","9 3/8"
"Tony Pierson",WR,24.4,Undrafted,2015,71,"29 3/4","8 1/8"
"Tony Stevens",WR,25.8,Undrafted,2017,76,"32 3/8","9 5/8"
"Tony Washington",WR,28.0,Undrafted,2014,70,"30    ","9    "
"Tori Gurley",WR,28.2,Undrafted,2011,76,"35    ","9 3/4"
"Torrence Allen",WR,24.8,Undrafted,2014,72,"32 5/8","8 7/8"
"Torrey Smith",WR,27.8,2.26,2011,72,"32 5/8","8 1/2"
"Travin Dural",WR,26.6,Undrafted,2017,73,"32 1/8","9 1/8"
"Travis Benjamin",WR,25.1,4.05,2012,70,"31 3/4","8 3/4"
"Travis Fulgham",WR,27.6,6.11,2019,74,"33 3/4","9 1/2"
"Travis Labhart",WR,26.6,Undrafted,2014,69,"29 1/2","8 1/8"
"Travis Rudolph",WR,25.6,Undrafted,2017,72,"31 7/8","9 1/4"
"Tre McBride",WR,28.5,7.28,2015,72,"32 1/8","9    "
"Tre'Quan Smith",WR,27.0,3.27,2018,74,"33 3/8","9 1/2"
"Trent Bostick",WR,27.4,Undrafted,2018,72,-,-
"Trent Sherfield",WR,27.5,Undrafted,2018,72,"31 7/8","9 5/8"
"Trent Taylor",WR,27.5,5.34,2017,68,"28 3/4","8 1/4"
"Trenton Irwin",WR,26.9,Undrafted,2019,73,"31 1/8","8 7/8"
"Trevon Brown",WR,27.6,Undrafted,2019,73,"32 1/8","9 1/8"
"Trevor Davis",WR,24.8,5.26,2016,73,"31    ","10    "
"Trevor Harman",WR,25.6,Undrafted,2015,75,"31 3/8","9    "
"Trey Brock",WR,27.2,Undrafted,2019,75,"31 1/2","9    "
"Trey Griffey",WR,26.8,Undrafted,2017,74,"32 1/8","9 3/4"
"Trey Quinn",WR,28.3,7.38,2018,71,"30 3/4","10 1/8"
"Trindon Holliday",WR,26.5,6.28,2010,65,"28 3/8","8 1/4"
"Troy Pelletier",WR,27.1,Undrafted,2018,75,"32 7/8","10    "
"Tyler Boyd",WR,26.0,2.24,2016,73,"32    ","9 3/4"
"Tyler Lockett",WR,26.1,3.05,2015,70,"30    ","8 3/8"
"Tyler Rutenbeck",WR,23.9,Undrafted,2015,74,"31 1/4","9 1/2"
"Tyler Slavin",WR,27.6,Undrafted,2015,74,"33    ","10 3/4"
"Tyre Brady",WR,26.4,Undrafted,2019,75,"33 5/8","9 3/4"
"Tyreek Hill",WR,26.5,5.28,2016,70,"30 1/2","8    "
"Tyrell Williams",WR,25.5,Undrafted,2015,75,"33 1/2","9 7/8"
"Tyron Johnson",WR,25.5,Undrafted,2019,73,"30 7/8","9 1/4"
"Vernon Johnson",WR,25.1,Undrafted,2015,73,"31 3/8","9 3/4"
"Victor Bolden",WR,27.1,Undrafted,2017,68,"31 1/8","9    "
"Victor Cruz",WR,27.7,Undrafted,2010,72,"31    ","9 1/2"
"Vincent Brown",WR,26.5,3.18,2011,71,"33    ","10 1/4"
"Vincent Jackson",WR,27.3,2.29,2005,77,"32    ","9 5/8"
"Vyncint Smith",WR,25.3,Undrafted,2018,74,"31 1/2","9 1/2"
"Walter Powell",WR,26.4,6.20,2014,71,"31 5/8","9 1/2"
"Wendall Williams",WR,25.8,Undrafted,2016,71,"30 7/8","9    "
"Wes Welker",WR,27.3,Undrafted,2004,69,-,-
"Will Fuller",WR,25.2,1.21,2016,72,"30 3/4","8 1/4"
"Willie Snead",WR,27.2,Undrafted,2014,71,"33    ","10 1/4"
"Wyatt Demps",WR,25.7,Undrafted,2018,75,"31 3/4","9 7/8"
"Xavier Ubosi",WR,26.9,Undrafted,2019,75,"31 5/8","9 1/8"
"Zach Pascal",WR,28.1,Undrafted,2017,74,"32    ","10    "
"Zay Jones",WR,25.8,2.05,2017,74,"32 1/2","9    "
